Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (41434868),Christian McCaffrey,41434868,RB/FLEX,8500,SF@PHI 01/11/2026 04:30PM ET,SF,25.21
RB,James Cook III (41434870),James Cook III,41434870,RB/FLEX,7400,BUF@JAX 01/11/2026 01:00PM ET,BUF,19.54
RB,Saquon Barkley (41434872),Saquon Barkley,41434872,RB/FLEX,7000,SF@PHI 01/11/2026 04:30PM ET,PHI,15.14
QB,Josh Allen (41434849),Josh Allen,41434849,QB,7000,BUF@JAX 01/11/2026 01:00PM ET,BUF,22.74
WR,A.J. Brown (41434946),A.J. Brown,41434946,WR/FLEX,6900,SF@PHI 01/11/2026 04:30PM ET,PHI,15.69
QB,Drake Maye (41434850),Drake Maye,41434850,QB,6800,LAC@NE 01/11/2026 08:00PM ET,NE,21.53
RB,Travis Etienne Jr. (41434874),Travis Etienne Jr.,41434874,RB/FLEX,6600,BUF@JAX 01/11/2026 01:00PM ET,JAX,15.29
QB,Jalen Hurts (41434851),Jalen Hurts,41434851,QB,6300,SF@PHI 01/11/2026 04:30PM ET,PHI,19.50
WR,Stefon Diggs (41434948),Stefon Diggs,41434948,WR/FLEX,6300,LAC@NE 01/11/2026 08:00PM ET,NE,13.25
TE,George Kittle (41435060),George Kittle,41435060,TE/FLEX,6200,SF@PHI 01/11/2026 04:30PM ET,SF,14.96
RB,Omarion Hampton (41434876),Omarion Hampton,41434876,RB/FLEX,6200,LAC@NE 01/11/2026 08:00PM ET,LAC,15.41
QB,Trevor Lawrence (41434852),Trevor Lawrence,41434852,QB,6100,BUF@JAX 01/11/2026 01:00PM ET,JAX,20.95
QB,Brock Purdy (41434853),Brock Purdy,41434853,QB,6000,SF@PHI 01/11/2026 04:30PM ET,SF,21.71
RB,TreVeyon Henderson (41434878),TreVeyon Henderson,41434878,RB/FLEX,6000,LAC@NE 01/11/2026 08:00PM ET,NE,12.54
WR,DeVonta Smith (41434950),DeVonta Smith,41434950,WR/FLEX,5900,SF@PHI 01/11/2026 04:30PM ET,PHI,12.22
QB,Justin Herbert (41434854),Justin Herbert,41434854,QB,5800,LAC@NE 01/11/2026 08:00PM ET,LAC,19.62
RB,Rhamondre Stevenson (41434880),Rhamondre Stevenson,41434880,RB/FLEX,5800,LAC@NE 01/11/2026 08:00PM ET,NE,13.2
WR,Ladd McConkey (41434952),Ladd McConkey,41434952,WR/FLEX,5700,LAC@NE 01/11/2026 08:00PM ET,LAC,11.68
WR,Jauan Jennings (41434954),Jauan Jennings,41434954,WR/FLEX,5600,SF@PHI 01/11/2026 04:30PM ET,SF,11.62
WR,Jakobi Meyers (41434956),Jakobi Meyers,41434956,WR/FLEX,5500,BUF@JAX 01/11/2026 01:00PM ET,JAX,11.05
WR,Quentin Johnston (41434958),Quentin Johnston,41434958,WR/FLEX,5200,LAC@NE 01/11/2026 08:00PM ET,LAC,12.51
WR,Ricky Pearsall (41434960),Ricky Pearsall,41434960,WR/FLEX,5100,SF@PHI 01/11/2026 04:30PM ET,SF,10.51
RB,Brian Robinson Jr. (41434882),Brian Robinson Jr.,41434882,RB/FLEX,5000,SF@PHI 01/11/2026 04:30PM ET,SF,3.68
WR,Parker Washington (41434962),Parker Washington,41434962,WR/FLEX,5000,BUF@JAX 01/11/2026 01:00PM ET,JAX,11.92
RB,Tank Bigsby (41434884),Tank Bigsby,41434884,RB/FLEX,4900,SF@PHI 01/11/2026 04:30PM ET,PHI,3.34
WR,Khalil Shakir (41434964),Khalil Shakir,41434964,WR/FLEX,4800,BUF@JAX 01/11/2026 01:00PM ET,BUF,10.65
RB,Kimani Vidal (41434886),Kimani Vidal,41434886,RB/FLEX,4700,LAC@NE 01/11/2026 08:00PM ET,LAC,9.76
WR,Brian Thomas Jr. (41434966),Brian Thomas Jr.,41434966,WR/FLEX,4700,BUF@JAX 01/11/2026 01:00PM ET,JAX,9.91
RB,Bhayshul Tuten (41434888),Bhayshul Tuten,41434888,RB/FLEX,4600,BUF@JAX 01/11/2026 01:00PM ET,JAX,5.97
QB,Mac Jones (41434855),Mac Jones,41434855,QB,4500,SF@PHI 01/11/2026 04:30PM ET,SF,13.37
TE,Hunter Henry (41435062),Hunter Henry,41435062,TE/FLEX,4500,LAC@NE 01/11/2026 08:00PM ET,NE,10.69
RB,Ty Johnson (41434890),Ty Johnson,41434890,RB/FLEX,4400,BUF@JAX 01/11/2026 01:00PM ET,BUF,5.9
WR,Kayshon Boutte (41434968),Kayshon Boutte,41434968,WR/FLEX,4300,LAC@NE 01/11/2026 08:00PM ET,NE,9.08
TE,Dallas Goedert (41435064),Dallas Goedert,41435064,TE/FLEX,4200,SF@PHI 01/11/2026 04:30PM ET,PHI,12.54
WR,Keenan Allen (41434970),Keenan Allen,41434970,WR/FLEX,4200,LAC@NE 01/11/2026 08:00PM ET,LAC,10.92
RB,Ray Davis (41434892),Ray Davis,41434892,RB/FLEX,4200,BUF@JAX 01/11/2026 01:00PM ET,BUF,3.95
RB,Will Shipley (41434894),Will Shipley,41434894,RB/FLEX,4100,SF@PHI 01/11/2026 04:30PM ET,PHI,1.23
QB,Tanner McKee (41434858),Tanner McKee,41434858,QB,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,3.69
QB,Kurtis Rourke (41434864),Kurtis Rourke,41434864,QB,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
QB,Adrian Martinez (41434865),Adrian Martinez,41434865,QB,4000,SF@PHI 01/11/2026 04:30PM ET,SF,-0.1
QB,Sam Howell (41434866),Sam Howell,41434866,QB,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
QB,Kyle McCord (41434867),Kyle McCord,41434867,QB,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
RB,Jordan James (41434932),Jordan James,41434932,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
RB,Isaac Guerendo (41434934),Isaac Guerendo,41434934,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
RB,Patrick Taylor Jr. (41434936),Patrick Taylor Jr.,41434936,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
RB,Kyle Juszczyk (41434938),Kyle Juszczyk,41434938,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,3.35
RB,A.J. Dillon (41434940),A.J. Dillon,41434940,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,1.44
RB,Ben VanSumeren (41434942),Ben VanSumeren,41434942,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
QB,Trey Lance (41434857),Trey Lance,41434857,QB,4000,LAC@NE 01/11/2026 08:00PM ET,LAC,3.88
QB,DJ Uiagalelei (41434861),DJ Uiagalelei,41434861,QB,4000,LAC@NE 01/11/2026 08:00PM ET,LAC,0
QB,Joshua Dobbs (41434862),Joshua Dobbs,41434862,QB,4000,LAC@NE 01/11/2026 08:00PM ET,NE,0.52
QB,Tommy DeVito (41434863),Tommy DeVito,41434863,QB,4000,LAC@NE 01/11/2026 08:00PM ET,NE,0
